,Aridity_Index_Avg,Average Precipitation Trend,GlacierAreaFrac,Mean_Volume_Loss_ssp126,Mean_Volume_Loss_ssp245,Mean_Volume_Loss_ssp370,Mean_Volume_Loss_ssp585,Mean_Initial_Volumes_ssp126,Mean_Initial_Volumes_ssp245,Mean_Initial_Volumes_ssp370,Mean_Initial_Volumes_ssp585,#glaciers
RHINE,1.927592501446339,425249932.0840784,0.0021569599619426,16.84750747680664,18.476694107055664,19.220645904541016,19.39049530029297,19.524091720581055,19.524091720581055,19.524091720581055,19.524091720581055,796
RHONE,1.1961667793327748,1288113665.9631622,0.0096385309651729,50.441856384277344,58.322879791259766,62.54241943359375,63.64755630493164,64.58155822753906,64.58155822753906,64.58155822753906,64.58155822753906,1169
PO,2.470101849880041,1257262591.592276,0.0044184896881545,13.67379665374756,15.218705177307127,15.975504875183104,16.180400848388672,16.567241668701172,16.567276000976562,16.567276000976562,16.567276000976562,765
DANUBE,1.1697726370107948,830048278.0183103,0.0005275097879308,19.98031234741211,21.343746185302734,21.796457290649418,21.86778450012207,21.912534713745117,21.912534713745117,21.912534713745117,21.912534713745117,843
TITICACA,0.7201930167304725,247021680.559963,0.0040125705432615,10.13657569885254,11.729394912719728,12.220420837402344,12.269776344299316,12.29481029510498,12.29481029510498,12.294809341430664,12.294968605041504,310
SANTA,5.675271554291369,744893549.9086425,0.0295018014708951,6.211671829223633,9.531185150146484,11.57683563232422,12.18547248840332,13.399216651916504,13.399216651916504,13.399216651916504,13.399216651916504,409
OCONA,1.6247835076760513,539296999.3059391,0.0023050143182638,1.5350823402404783,1.8577898740768433,1.9494996070861816,1.9560906887054443,1.958834171295166,1.958834171295166,1.958834171295166,1.958834171295166,34
MAJES,3.596080771134159,74943999.86513543,0.0019228317196595,0.8342289924621582,1.1242823600769043,1.2897156476974487,1.3219895362854004,1.3512898683547974,1.3512898683547974,1.3512898683547974,1.3512898683547974,64
MAGDALENA,1.3316537136463171,1144062666.1487331,0.0001892181953811,1.6166551113128662,1.9493582248687744,2.0092782974243164,2.014115333557129,2.015814304351806,2.015814304351806,2.015814304351806,2.015814304351806,30
AMAZON,1.542379128082896,3260888402.8382344,0.0002498949570588,37.427459716796875,48.67326736450195,53.0811653137207,54.00348663330078,55.13069534301758,55.13066101074219,55.13069534301758,55.13069534301758,1557
YELCHO,0.8690479090485062,893987248.9720296,0.0217515119586977,5.941494464874268,7.529144287109375,8.409138679504395,8.677572250366211,8.8135986328125,8.8135986328125,8.8135986328125,8.8135986328125,618
VALDIVIA,0.4590034726843319,299651254.5221046,0.0044854962354551,2.2880568504333496,2.7052178382873535,2.811866283416748,2.832374334335327,2.8365378379821777,2.8365378379821777,2.8365378379821777,2.8365378379821777,33
SERRANO,0.4110063918588194,48937446.99968378,0.1100575982492299,99.9430923461914,110.80664825439452,121.44425964355467,131.72308349609375,185.17352294921875,185.17385864257812,185.17417907714844,185.17486572265625,167
RAPEL,0.5932235882664676,65670718.07377766,0.0170978678950995,7.946688652038574,10.567143440246582,12.207281112670898,12.511216163635254,13.411194801330566,13.411194801330566,13.411194801330566,13.411194801330566,246
PUELO,0.4442021082671888,144392300.93823305,0.0241275227051661,6.617476463317871,7.725046634674072,8.09923267364502,8.198854446411133,8.312562942504883,8.312562942504883,8.312562942504883,8.312562942504883,416
PASCUA,0.4149993135159642,20891649.330035742,0.1749264809729305,209.4567413330078,246.47787475585935,281.28692626953125,312.2142333984375,437.8096008300781,437.8096008300781,437.8096008300781,437.8096008300781,1098
PALENA,0.4448854124312441,764110559.1846972,0.0269385128512927,13.660067558288574,15.887602806091309,16.98493194580078,17.302486419677734,17.573484420776367,17.573484420776367,17.573484420776367,17.573484420776367,651
HUASCO,0.8538185197553987,33395163.85802708,0.0039348805900018,0.7422916889190674,0.9289023280143738,1.003754496574402,1.0145739316940308,1.0246775150299072,1.0246775150299072,1.0246775150299072,1.0246775150299072,89
COPIAPO,1.2272764814949224,14791734.006471958,0.0021249800995294,0.9737188220024108,1.2793676853179932,1.3995221853256226,1.4155428409576416,1.4289065599441528,1.4312609434127808,1.4312609434127808,1.4312609434127808,71
CISNES,1.4025791779228782,-7928173639.635992,0.0140688927328914,1.7033915519714355,2.1283657550811768,2.241027355194092,2.2571802139282227,2.266317129135132,2.266317129135132,2.266317129135132,2.266317129135132,180
BIOBIO,1.3319949427312263,-16601099.928704135,0.0032571820892075,2.1814963817596436,2.723755121231079,2.8695285320281982,2.884641408920288,2.8920111656188965,2.8920111656188965,2.8920111656188965,2.8920111656188965,138
BAKER,0.3913495740480331,194678059.921804,0.0761028834401906,113.08383178710938,131.74960327148438,147.95126342773438,159.68150329589844,226.0896148681641,226.0896148681641,226.0896148681641,226.0896148681641,1957
AZOPARDO,1.8565775463860472,-895486098.3692123,0.0088051547323243,0.7783939242362976,0.9476518630981444,1.061479926109314,1.1088190078735352,1.234600305557251,1.234600305557251,1.234600305557251,1.234600305557251,88
AISEN,0.6296618660264011,-77069177.4531552,0.0128085681285788,4.429416656494141,4.9943952560424805,5.192314147949219,5.249166011810303,5.2883100509643555,5.2883100509643555,5.2883100509643555,5.2883100509643555,404
SANTA CRUZ,3.1713970023026783,-21441590.377606288,0.1046422182778175,530.7221069335938,565.6907958984375,600.9522094726562,633.7300415039062,808.215576171875,808.2156982421875,808.2157592773438,808.2158203125,462
NEGRO,3.95892989581327,-32487240.646428365,0.0003906674651871,1.0187509059906006,1.3765665292739868,1.6057932376861572,1.6598809957504272,1.7086735963821411,1.7086735963821411,1.7086735963821411,1.7086735963821411,194
COLORADO,3.0169834443107577,-485773.75583867234,0.0035260952012248,37.57734298706055,49.79820251464844,57.90297317504883,60.33836364746094,67.08702850341797,67.08491516113281,67.08699798583984,67.08389282226562,1746
CHICO,4.3334875974133045,-60844671.82924433,0.0011346279631771,0.9298138618469238,0.9920430183410645,1.0081183910369873,1.0124696493148804,1.0148009061813354,1.0148009061813354,1.0148009061813354,1.0148009061813354,109
TORNEALVEN,1.274652121270996,-66749375.912149794,0.000920155283486,2.0064234733581543,2.061797618865967,2.0892300605773926,2.0911149978637695,2.0956459045410156,2.0956459045410156,2.0956459045410156,2.0956459045410156,64
THJORSA,3.896641111414828,-14579253.322197871,0.1175958515547609,141.99072265625,161.65966796875,183.40646362304688,200.73074340820312,269.5375671386719,269.5375671386719,269.5375671386719,269.5375671386719,22
OLFUSA,0.1802563636348339,1071907.7376094924,0.1190082921671606,100.27745819091795,111.14075469970705,124.34109497070312,132.25135803222656,147.40353393554688,147.40353393554688,147.40353393554688,147.40353393554688,41
LULEALVEN,0.2179504738181094,-1070587.3136942969,0.0107109931237878,19.77642822265625,20.762954711914062,21.404491424560547,21.595001220703125,21.862865447998047,21.862865447998047,21.862865447998047,21.862865447998047,244
KUBAN,1.7103072407643307,22697441.58570243,0.0031622253113963,5.373322486877441,5.876821517944336,6.141655921936035,6.211442947387695,6.260365962982178,6.260365962982178,6.260365962982178,6.260365962982178,297
KALIXALVEN,1.3381655478448868,29767881.16023662,0.0023018175330221,1.958557605743408,2.0558996200561523,2.091604471206665,2.093019485473633,2.105531930923462,2.105531930923462,2.105531930923462,2.105531930923462,59
GLOMAA,3.8020599135920703,-39275432.79229325,0.0070415608007548,19.97967529296875,20.687788009643555,21.158737182617188,21.19378662109375,21.21839714050293,21.21839714050293,21.21839714050293,21.21839714050293,284
